PeakPosition,G1_Mean,G1_SEM,G2_Mean,G2_SEM,P_value,FDR
1772,-0.4317751299208508,0.0262581631448261,-0.482595274151371,0.0321672404249403,0.1590892429580503,0.2617274642213086
1068,-0.1968285108801341,0.0592143470223552,-0.4642304093175345,0.0547620128901575,0.0031359280241695,0.0159932329232645
1764,-0.4546845626541496,0.0165389637651613,-0.5116015140934927,0.0218640910515265,0.0559337133964208,0.1118674267928416
1788,-0.3167709080641494,0.0395667228477235,-0.4797706357002277,0.0325843792881412,0.004995918665035,0.0216428903193401
1756,-0.337501623186277,0.0435398893708251,-0.5254979256046737,0.0216140605035239,0.0072953371492874,0.0256594616974938
1500,-0.1842438355883107,0.0664054242075674,-0.3874560648437296,0.0724109284974383,0.0473041581279724,0.1096596392966633
1196,-0.1164556991800429,0.0735454935301136,-0.3774310632544629,0.0390043772886182,0.0050924447810212,0.0216428903193401
1820,-0.4303279462293622,0.0216769524382651,-0.5173007265700686,0.019395617029045,0.0078717181247101,0.0267638416240145
1748,-0.3096128041942679,0.0456490157096251,-0.543702549088415,0.0268069040918966,0.0019283410364607,0.0115700462187646
1268,-0.2483803730379216,0.0413993395158056,-0.1496634325077748,0.0805396993776853,0.3696212937472461,0.4806466638446519
1828,-0.4448743869115802,0.0174997890952617,-0.5359825750735134,0.0218834700893232,0.0031174629936343,0.0159932329232645
1188,-0.1546826318923259,0.0752260979803075,-0.4114439289154428,0.0536735347486124,0.0070345297536144,0.0256257869595955
1508,-0.1662368743967356,0.0623013372050112,-0.2694472453754374,0.0719322659522167,0.4297137287523762,0.5280819317197876
1740,-0.2296701344606588,0.0464293183749418,-0.5207288158346747,0.0376893542169876,0.0002989255914445,0.0043557729039057
1780,-0.3463102148934435,0.0404398887474763,-0.5348621193998365,0.0267893426192393,0.0038955971635715,0.0189214719373474
484,-0.0531788626192447,0.0345480460903077,-0.229823050032505,0.052842569206179,0.0115139481989508,0.0345418445968526
1612,-0.107485290357947,0.0344531652760882,-0.2303250021951689,0.1072480165050646,0.0530695076688099,0.1104712200452777
588,-0.1150053882075387,0.043430051007416,-0.2430563280708634,0.0719032849989315,0.2682260143433435,0.4023390215150153
692,-0.0744450178717551,0.0353908031658426,-0.3673772790841121,0.0671498688229038,0.0005842503129674,0.0066215035469643
1836,-0.2549530517367064,0.0468446034200023,-0.5326965958853419,0.0355099926577342,0.0002237527737321,0.0038037971534472
1060,-0.2367074599136212,0.0517512425565228,-0.5331539565027116,0.0457719940223703,0.0008880974469144,0.008235085416843
780,-0.3377403903435163,0.0439110192172586,-0.347915354498771,0.0738900437072883,0.8718145442668181,0.9167534383011904
892,-0.1875402759414966,0.0402560088926031,-0.4789265628415513,0.0427161636583848,5.255856111585173e-05,0.0017869910779389
1668,-0.186693800271735,0.0479618541115252,-0.2990302477051956,0.0639490049997706,0.166203347522229,0.2690911340836089
476,-0.081341104942228,0.0342970018538857,-0.2240282488238034,0.0476314783713443,0.022195822346651,0.0595782599831158
1052,-0.190099907999422,0.0492598832386301,-0.4603562271352899,0.0622015758158909,0.001793339187767,0.0115700462187646
1156,-0.2438401163966534,0.042744064429171,-0.4191479956696995,0.0516219995557466,0.0054194283321932,0.0221112675953484
1660,-0.2914987201568585,0.0461255050468261,-0.3000070937988228,0.0645048199142372,0.7796564776709559,0.8283850075253906
1652,-0.1520540475993516,0.0389847449244397,-0.2200565395694585,0.0601281026163666,0.3722655533698774,0.4806466638446519
460,-0.0711474020534838,0.0366294524469133,-0.3339626311133501,0.0602467940926776,0.0007025765460412,0.0071662807696206
